	yield	GRMZM2G517408	GRMZM5G824831	GRMZM2G019971	GRMZM2G134393	GRMZM2G149617	GRMZM2G024624	GRMZM2G174574	GRMZM2G412601	GRMZM2G371033	GRMZM2G060811	GRMZM2G315902	GRMZM2G072415	GRMZM5G842970	GRMZM2G176638	GRMZM2G179693	GRMZM2G468717	GRMZM2G334660	GRMZM2G061568	GRMZM2G316136	GRMZM2G007810	GRMZM2G326195	GRMZM5G832138	GRMZM2G048549	GRMZM2G120839	GRMZM2G389567	GRMZM2G328268	GRMZM2G150893	GRMZM2G159397	GRMZM2G023982	GRMZM2G335521	GRMZM2G107562	GRMZM2G083091	GRMZM2G034043	GRMZM2G104618	GRMZM2G174785	GRMZM2G052586	GRMZM2G094988	GRMZM2G026223	GRMZM2G101117	GRMZM2G465444	GRMZM2G406119	GRMZM2G441031	GRMZM2G044900	GRMZM2G107299	GRMZM2G009591	GRMZM2G302601	GRMZM2G040164	GRMZM2G143718	GRMZM2G082185	GRMZM2G366607	GRMZM2G045675	GRMZM2G037452	GRMZM2G374827	GRMZM2G005253	GRMZM2G096682	GRMZM2G429540	GRMZM2G108463	GRMZM2G345776	GRMZM2G346639	GRMZM2G040843	GRMZM2G026758	GRMZM2G039988	GRMZM2G443509	GRMZM2G088440	GRMZM2G175718	GRMZM2G118316	GRMZM2G126096	AC233851.1_FG017	GRMZM2G022974	GRMZM2G081268	GRMZM2G013519	GRMZM5G830269	GRMZM5G812356	GRMZM2G077143	GRMZM2G020859	GRMZM2G152485	GRMZM2G088114	GRMZM2G003518	GRMZM2G022611	GRMZM2G375015	GRMZM2G153369	GRMZM2G150598	GRMZM2G390124	GRMZM2G049070	GRMZM2G002286	GRMZM2G343080	GRMZM2G064663	GRMZM2G017266	GRMZM2G111926	GRMZM2G370175	GRMZM2G149321	GRMZM2G016802	GRMZM2G073404	GRMZM2G047626	GRMZM2G175499	GRMZM2G030882	GRMZM5G877884	GRMZM2G141858	GRMZM2G059353	GRMZM2G179264	GRMZM2G181269	GRMZM2G132431	GRMZM2G180254	GRMZM2G053117	GRMZM2G102196	GRMZM2G456568	GRMZM2G087068	GRMZM2G450717	GRMZM5G851103	GRMZM2G170625	GRMZM2G044762	GRMZM2G425863	GRMZM2G102802	GRMZM5G896883	GRMZM2G173710	GRMZM2G092433	GRMZM2G113796	GRMZM2G457889	GRMZM5G801091	GRMZM2G004207	AC208897.3_FG004	GRMZM2G301172	GRMZM2G411956	GRMZM2G093660	GRMZM2G427031	GRMZM2G134439	GRMZM2G010987	GRMZM2G124602	GRMZM2G133573	GRMZM2G114113	GRMZM2G155962	GRMZM2G087079	GRMZM5G899428	GRMZM2G162460	GRMZM2G004856	GRMZM2G005710	GRMZM2G089567	GRMZM2G062354	AC205703.4_FG006	GRMZM2G075502	GRMZM2G020814	GRMZM2G071970	GRMZM2G386525	GRMZM2G488067	GRMZM2G005554	GRMZM2G366392	GRMZM2G033413	GRMZM2G010861	AC225354.2_FG004	GRMZM2G082079	GRMZM2G076006	GRMZM2G122076	GRMZM5G878153	AC233893.1_FG001	GRMZM2G117984	GRMZM2G415793	GRMZM2G341269	GRMZM2G377613	GRMZM2G168119	GRMZM2G022514	GRMZM2G168510	GRMZM2G008464	GRMZM5G803992	GRMZM2G081955	GRMZM2G081803	GRMZM2G394027	GRMZM2G033267	GRMZM2G058252	GRMZM2G468111	GRMZM2G035217	GRMZM2G093210	GRMZM5G862331	GRMZM5G848182	GRMZM2G003715	GRMZM2G114998	GRMZM2G141526	GRMZM2G115792	GRMZM2G060114	GRMZM2G065928	GRMZM2G119071	GRMZM2G374475	GRMZM2G363310	GRMZM2G121514	GRMZM2G090693	GRMZM2G160327	GRMZM2G042789	AC233954.1_FG003	GRMZM2G446313	GRMZM5G885445	GRMZM2G703575	GRMZM2G429714	GRMZM2G125531	GRMZM2G154641	GRMZM2G158496	GRMZM2G082924	GRMZM2G003368	GRMZM2G055917	GRMZM2G084406	GRMZM2G174136	GRMZM2G346839
04033v	0.945	4.000621622	2.420714735	0.3799018	1.673321219	2.178089327	0.218430864	2.921369654	3.821798472	1.006909926	2.794521432	0.372357035	3.46419096	0	1.142093145	2.29842947	0	0.840286193	1.902398529	1.821439623	2.239721968	1.263685952	1.639006423	0.898753856	1.728523211	2.658628838	0.159805802	1.858532991	0.419240457	0.159269556	4.599315078	4.427060945	1.728908412	2.692970404	2.018382294	2.071216559	1.520125709	2.185315051	1.527915444	1.612858057	0.714908672	3.386266468	0.101686174	3.745141633	0	1.910667797	1.641577847	4.163186311	3.478201632	4.221056505	0.620383996	1.168691681	1.521989349	2.243672318	0	1.802831283	1.795085598	2.289025577	1.173265112	1.746931196	3.351173457	1.194367824	4.608021118	3.14688131	0.548165338	1.574695318	2.852894857	0.065299794	0.376652654	0.458513495	3.255161466	0	1.02038765	3.410474218	2.048644648	1.243543456	2.342888873	3.295503477	0.998942955	0.744063654	0	3.811448795	3.511118482	0.065930895	1.643883783	1.577808949	2.427895284	3.395387202	2.100265706	2.838083817	1.799486208	2.755398056	1.114416738	2.538581689	2.637971026	2.322519084	1.642259348	0	3.226280344	3.356726376	0.071456288	3.485078866	2.597088845	1.569621662	0.036386026	1.761277925	4.078990625	2.726669122	0.160983001	0.627265892	2.284270398	3.068369164	2.92210188	3.444106796	2.060196284	2.139241117	2.390791922	2.514335994	2.885052078	0	0.58083366	3.721857163	1.99691283	3.682896592	0	2.534125294	2.597513348	4.358865474	0.557455742	0.733953175	1.445737108	3.26500722	3.854143861	1.156569828	1.006694349	2.442207895	0.331939838	0.214026114	2.814821721	4.04910135	4.02850208	2.183192137	3.295388617	3.98932658	0	0.431037334	3.94187691	2.615883741	2.115475693	0.458015812	0	3.579045057	4.04506853	1.365864587	2.150114335	3.133309222	2.995117084	1.638839421	0.066778729	2.589409298	1.862654309	3.188231033	3.513117337	2.076401927	4.548114002	2.974018221	0.757318447	2.224887301	2.340824556	1.445383687	1.675671247	1.454375817	3.917551694	2.916380577	0.938885536	2.612926004	0	0.265589059	1.60306364	2.373505705	4.336944276	4.115078129	0.164296748	3.117006984	0.68868725	1.609093853	1.526506202	0	2.04761284	2.221672173	0	2.937997223	3.136063619	2.279211036	2.254447866	3.214152688	2.003530599	2.02302065	2.96562352	2.793567129	0.106836226
33-16	2.715	3.617670737	2.177522878	0.414420224	2.087288176	2.328110529	0.685710598	2.672112094	3.102620621	0.197594332	1.817220892	0.819832694	3.158790308	2.445489917	1.301240159	2.365296947	0	1.244750958	1.63022241	1.916148783	2.812872572	1.784459556	2.216719968	1.57785849	1.464631769	1.467118302	0.098313846	4.848320265	0.14843466	0.040338646	4.434056783	4.87945542	2.830598163	3.349995311	1.367373995	2.092698282	1.666438092	2.434595329	1.338909209	2.839177874	1.283829649	3.790758918	0.106119727	3.584909638	1.850075546	2.377017013	0.889034636	4.255124647	3.05914829	3.795574579	0.828219885	0.79887113	1.859151727	1.209405023	0.152085692	1.42959568	2.343083835	2.200214547	0.598164297	1.299054776	3.262548153	1.427963996	2.669510323	3.396546583	0.379082802	1.407561602	2.477865251	0	0.571853176	0.324743003	2.268641471	0.134435609	1.641362845	2.987821062	2.36239244	0.682608342	2.35276667	3.517646194	1.169204325	0.57365506	1.911682436	3.363578585	3.824022048	0.115314213	2.45580391	2.231800975	2.325186741	3.656542196	2.541586245	3.622731639	0.765607367	2.612133838	1.530299462	2.164602666	2.759655447	2.069501048	2.491576027	1.429909252	3.173815695	3.356252316	0.099020561	3.488466226	2.368880195	1.176677658	0	1.67857584	3.728818659	1.800995023	2.278252441	1.656468434	1.232041176	3.099258608	3.124648658	2.305790949	0.140862206	2.746334579	1.097434929	2.40593559	3.165314698	0.476282004	0.712032721	2.761489857	1.721288721	2.893594338	0.039525955	2.704363413	2.625849055	4.153411894	0.735569494	1.192788492	1.861894799	2.49823411	3.544549971	0.920505836	0.862383498	1.935664989	0.619278872	2.255816285	2.811232346	4.523822377	3.367119952	2.349074517	3.370253521	3.642196568	0	1.327552341	3.300190339	1.856199548	2.93719703	0	0	3.692978541	3.482064365	2.908604526	2.293794569	2.821164578	2.878406009	1.594730284	0.049415778	2.827041396	1.468982029	3.383023228	3.294194778	2.418660004	4.347116816	2.770912318	1.383843861	2.143336106	2.2764916	1.560947003	1.738105496	1.274256043	3.560318545	2.416948957	1.236317044	1.77246961	0.787934496	0.389948682	1.714936019	3.639339884	3.811703098	4.401107188	0.061253224	3.543524148	1.270296918	1.63578574	0.306043956	0	2.233326115	1.069777191	0	2.492874819	3.525224586	2.028104825	2.294453118	3.025247386	1.280897734	1.610659166	3.019219282	3.569451003	0
38-11	2.21	3.474531483	2.059158474	0.22056503	1.777335949	1.911080581	0	1.923085933	2.735016649	0.73481202	1.643939817	0.75235904	3.358425571	2.200244457	0.747597486	2.446988421	0	1.057609722	1.845066402	1.9270098	2.731877399	2.077423256	2.217319101	1.68604704	1.170005388	2.684187744	0.438122019	4.178440583	0	1.462662634	4.944694902	4.989874608	2.028919003	3.191488184	1.597865206	2.005620067	0	2.255713587	0.923695251	2.045500765	1.063112909	3.789464335	0.30117291	3.737019407	1.666613771	2.345827516	0.993647991	4.220129571	3.406131854	4.060263684	1.020960609	0.629151978	2.43759664	0.647964651	0.122813915	1.439259133	1.619204068	2.341508647	0	1.930692082	3.341411991	1.587139132	5.432620961	3.110577665	0	1.213692415	2.88783521	0.257879608	0.835904632	0.592629917	2.228858894	0	0.87524788	3.233421521	2.747943765	0.436935997	1.995281097	3.57913155	0.673360713	0.511696045	1.622571291	3.890676787	3.705461214	0	1.404480487	2.061678458	2.395063084	4.025823008	1.313898384	3.233614672	0.441964815	2.723359087	0.978998829	2.726446611	2.397203215	0.690467594	2.015791959	1.347621098	2.998403702	2.956419556	0.152657566	3.791648114	1.145095031	2.026040765	0	1.507418476	3.503747953	1.936423868	1.269468367	1.389504204	1.486876981	2.978998034	3.742555283	2.94433371	0.192688468	1.877519647	1.719509513	2.517156004	2.949143684	0.583678237	0.668663384	2.081222455	1.816759352	3.038260012	0	1.390948514	2.165298085	4.114926298	0.540285586	1.938958902	1.725060394	2.908124355	3.973964407	0.765923552	0.919533469	1.555712188	0.407142367	2.405818348	2.735250237	4.322496882	4.207216298	2.386745159	3.274828846	4.037467285	0	0.250825642	3.326484611	2.200525789	2.818637036	0	0	4.044150663	3.758636367	3.273549599	2.577098336	2.628350212	2.789347506	2.288538906	0.063454684	2.905413615	1.152096182	3.40235338	3.597084837	2.993033636	4.379544807	2.907414589	0.419281882	2.455186001	2.180072767	0.503634228	1.511317788	0.906103013	4.357552061	3.021395147	1.255561905	2.780011108	0.14045996	0.2821503	1.606232781	2.47276659	5.154233347	4.105503733	0	3.828443551	1.163075807	1.199368219	1.363486222	0	2.450858536	1.642907504	0	2.47875443	3.276937164	2.559240787	1.188041573	2.581866982	1.86906613	2.033939341	2.822003691	2.764172152	0.534746231
4554_inbred	0.695	4.154000872	2.327104032	1.649560142	2.578617066	1.925956682	0.542716075	1.340302777	4.000859549	0.229839483	2.350004795	2.053654393	0	0	2.040673426	1.995274298	0.45643385	1.001227291	1.009901286	2.437605377	2.49346988	2.285353478	2.037632081	1.011593639	1.514502862	1.951812695	0.720601829	2.326888362	0.041925226	0.13552952	4.839578056	4.459558115	1.145788453	3.464941838	1.499084955	1.940247001	2.034072768	2.58996462	1.671687566	1.754138942	1.243058893	3.583921635	1.192733884	4.041209221	0	2.141951444	0.650651912	4.292413695	2.4993436	3.616730715	0.774160187	1.457367734	1.486259598	0.742032578	0.241685777	0.390608628	1.866965885	2.159668079	0	1.67808299	3.416552224	1.576825874	4.426851806	3.091033362	0.25688621	1.442747943	2.678504665	0.552749986	1.026181371	1.065568989	2.280841403	0	0	3.463993761	1.796508176	1.573226108	2.447983296	3.898301292	1.159240048	0.739577419	1.803727565	3.535993391	3.646423313	1.448423733	1.526517067	1.468341981	2.600487262	4.208293591	1.638930693	3.592690638	0.749291191	2.450341085	1.094095436	2.397164096	2.14415661	2.489744926	2.674969003	0	1.862558043	3.703519267	0.202142158	1.136341505	2.034951369	2.079519039	0.282424777	1.709176454	2.925089828	2.053871138	0.085219898	0.79910052	2.555466071	2.880882432	3.504018676	0.642118588	2.647783432	2.190239125	2.410560188	3.008214051	3.034125722	0.110769163	0.435877915	2.993038649	1.660288809	2.970214446	0	1.956247958	2.83556939	4.007489537	0.683994926	1.104166834	2.3000178	2.964752312	4.080568439	1.160365685	0.755445695	1.729609205	0.241736035	1.776764268	2.813538709	4.363181424	4.39392062	2.425156645	3.378829066	3.966134226	0	0.338999754	3.396302086	1.719767462	2.961389245	0.909104976	0.443326565	4.014115587	3.490163236	1.638524759	2.733782923	2.983391438	2.283586762	1.298697358	0.195749333	2.837293245	1.736576162	3.006573297	3.06485247	1.940432316	4.53275647	2.631586636	0.464096843	2.958497587	2.529609106	2.921321179	1.135281673	1.381869586	3.682680279	2.996007236	1.254709644	1.922461655	1.434686827	0.222764279	2.065148633	2.152087732	3.575763946	4.40123227	0	3.367099259	1.187681824	2.15945348	0	0.402168346	2.165174185	1.739799286	0.343367694	2.845380203	3.221931153	2.583537069	1.771425801	3.516924973	2.002753513	2.323460674	3.032517331	3.541860367	0.109644227
4578_inbred	1.855	3.876911757	2.16131872	0.794462024	2.56627156	2.169369079	0.047205862	1.935338754	3.645418564	1.425558343	2.908353556	0.663841946	3.655557907	0	1.717920948	2.565994964	0.063867921	0.598512822	1.447396516	1.394917078	2.879395067	1.776324291	2.056586084	1.990253707	1.88308901	1.523710075	0.817049235	4.356471619	0.258249657	1.171909218	4.547050487	5.435950959	1.234438962	2.665636663	1.238417708	2.137614926	0	2.677096026	1.211869543	3.179902121	1.377768116	3.811634553	0.168993127	4.005628096	1.756203101	2.165296938	0.295261774	4.313779913	2.843804122	4.116287055	0.72010065	2.459101544	1.531482857	1.482252059	0	1.270336222	1.934054433	1.929426465	1.938452409	2.036117722	3.100047243	1.201475689	5.340188411	3.230096635	0.404523999	1.196370984	2.988098208	0.325010371	0.314709275	1.670393774	2.006078869	0	0	3.297590882	2.688058356	1.286938007	2.608487659	3.582657456	0.545206181	0.244087488	1.217707056	3.168651433	3.944600548	1.00812579	1.616735222	2.304849527	2.084948849	3.123245594	1.84253021	3.979034716	1.062504858	2.908337187	1.062957477	2.463972382	2.484064629	1.907896707	2.701179988	0.172345292	3.428718511	2.59912036	0	3.521067128	2.404329077	1.302668157	0	1.483051221	3.197693046	2.683231414	0.627733076	0.561500867	1.317913802	2.978774296	4.171004632	4.03384587	0	1.883960274	1.953199233	2.527550983	2.937440865	1.686339693	0.489320845	2.387259825	1.63022241	2.932504892	0	1.625508093	3.03818334	3.931494205	0.472594021	1.062791655	2.066230914	2.49952429	3.740175998	0.782709052	1.050464918	1.702787991	0.487194393	2.223190092	2.831653304	4.094197885	4.250585912	2.327252339	3.545667066	3.867149063	0	0.441281315	4.283790679	2.771588222	2.802790522	0	0	3.94863262	3.594588005	1.313672592	2.745500117	2.044483829	1.870358058	1.397555713	0.223005142	2.551887499	0.903707899	3.604135505	3.570467471	2.62568981	4.588601683	2.232603519	0.95253394	2.469818392	2.393981259	0.879174363	1.900554082	0.894139188	3.716720763	3.294435885	0.982295677	1.644903507	1.421958276	0.102958132	2.285027863	3.1148877	4.596858741	4.337127329	0	4.132622523	1.188382911	2.703961855	1.565366896	0	2.410955076	2.146507725	0	2.592160372	3.202978123	2.768398706	2.328835516	3.945413293	1.640108718	2.272248558	3.189858876	2.984115054	0
80-2	0.94	3.808003812	2.341714456	1.619972231	2.312962065	2.259263101	0	2.20107604	3.633897787	0.161849255	2.672505922	1.900651243	0.52861446	0	1.24391249	2.454696552	0.55063155	0.864487834	0.926486577	1.933454325	2.668331764	1.095390437	1.687651872	1.784298371	1.895403012	2.151001449	0.209805392	4.453434089	0	0.103263919	4.850294383	5.000941797	0.916290732	3.427719215	2.600234823	2.151485421	1.873850846	1.27207528	1.375650415	0.82741143	1.362913138	3.699240592	0.289960724	3.758370535	1.787624264	2.378296279	0.948397741	4.367221325	2.898235204	4.021124913	0.303838354	1.040612344	1.135111353	1.76913717	0	1.420917985	1.970222201	2.186320903	0.836095346	1.551548172	3.208958813	1.165600931	3.8556283	3.25678799	0.902236431	1.745673645	2.656167259	0	1.219415943	0.614323105	2.730561575	0	0.22285551	3.566943432	1.726787076	1.16446557	2.708063534	3.586580912	1.46715289	0.847977629	0	2.440789301	3.615273279	0.870246793	1.449872265	2.049903302	1.879220745	3.445191938	1.577121311	3.499657142	1.217348944	2.820521376	1.369659262	2.842575267	2.60122936	2.982864842	2.618132787	0	3.327974146	2.60194867	0.08946001	2.963524115	1.5594238	0.444700565	0.275870338	1.509210865	2.896000332	2.445264515	0.048852162	0.434728074	2.200912214	2.564772419	3.715584674	3.37795946	2.729694269	1.813723158	2.334250413	2.20065203	2.589319216	0	0.705431419	3.144699543	2.055586766	3.003526817	0.21666179	1.336641825	2.688609108	3.948374221	0.744837896	1.117025062	2.262284837	3.07393791	3.473793974	1.686726678	1.732681567	1.967064803	1.2543189	0	2.756522855	4.380293884	4.303199854	2.373664054	3.377355407	4.11945985	0	0.705125157	3.37639568	1.648018036	2.093995123	0	1.195469756	4.020726726	3.840245546	1.459377523	2.419345384	2.747546517	3.15958007	2.065702593	0	2.470139822	1.942844025	3.450219265	3.791652625	3.210129689	4.308667997	2.436722552	0.672262608	2.963482805	2.831918388	0.99280723	1.932041566	1.355146772	3.849496326	1.562493045	1.043744191	2.040711108	0.610376798	0.188098173	1.476866059	3.310283856	3.49520975	4.185915943	0	3.791634579	0.890254717	1.339218477	2.989985794	0.42761074	2.26425894	1.773072619	0	2.803220977	3.490995428	2.505950337	1.898387182	3.988661772	2.043973678	2.083340182	2.834095308	2.863577076	0.116112307
a	2.38	3.921703993	2.12644201	1.151448226	2.235473665	1.949604744	0.367711318	2.652022912	3.517112006	1.47014596	2.138757072	0.302189085	3.511300633	2.727074748	2.198925352	2.518236649	0.143733177	1.550846472	1.447615211	1.701318582	2.785437077	2.140824699	2.114108634	2.63323326	1.286266822	2.286948476	0.321756634	4.648966951	0	1.427095555	4.76847031	5.126478672	1.892744426	3.017552472	2.200655352	1.976458753	2.309125657	2.269779837	1.520807771	2.742367888	1.087173784	1.374907274	0.070140333	3.7327815	0.907931894	2.290550973	1.090522992	4.352529593	3.07285071	4.704028609	0.250084561	0.821856968	2.683702862	1.298298864	0.093430687	1.495476067	1.847359725	2.268235855	0.300227548	1.707614888	3.278604045	1.313037949	5.604551284	3.281850624	0.637465852	1.15634017	2.938457971	0.246187195	1.416348186	0.339666416	2.627281119	0	1.555408246	3.217847296	2.04003001	0.409801028	2.101534436	3.059124826	1.365282653	0.48876466	1.647332747	3.839159797	3.962337721	0	1.261122218	2.363365938	2.496794047	4.017774845	3.031258671	3.567906022	2.154453926	2.706041518	1.331000972	2.455469257	2.728257975	1.745570669	2.664627606	2.010791915	3.297868135	3.005687555	0.260164154	3.359055071	2.578594302	1.669682227	0	1.687629677	3.11692726	2.270093926	2.243326475	1.443848391	2.489462921	3.116688049	3.7825838	3.410328896	1.768188852	1.839515766	1.048360557	2.439482066	2.543945702	1.034159097	0.738684441	2.888108087	1.6029328	3.264888803	0	1.626169161	2.55907831	4.28989764	0.555704721	1.688104905	1.041163244	2.612111824	3.802275101	1.246581043	1.040817202	2.537759977	0.803869794	1.758275072	2.811647163	4.171705215	3.981845666	2.587019397	2.938955552	4.181184119	0	0.671549623	3.632094794	1.976565437	3.059622147	0.914392932	0	4.01106802	3.714481409	1.573763065	2.9066114	3.442051376	2.982844583	1.260365425	0.081837742	0.767628297	1.298156896	3.583318918	3.691785228	2.345315026	4.302245872	1.867616506	0.792173175	2.631716163	2.935886723	1.376433401	1.679969067	1.258648472	3.809460793	2.664982632	1.132369385	1.952014338	0.862396162	0.208752495	2.038503655	3.157000421	5.095056096	4.447388254	0	4.023236956	1.428855642	1.717395054	1.612405505	0	2.128079313	2.113777749	0	2.627158244	3.18629478	2.655162654	2.196877851	3.5720647	2.507312096	2.211627029	3.004042647	2.684904392	0.447917772
a12	0.93	3.889808071	2.317479617	0.809364547	2.213304598	2.111696948	0.759136212	2.759788397	3.158301702	0.232545613	1.096563525	1.142785462	3.661315536	2.235764503	1.709201796	2.550873837	0.082130158	1.336423738	1.708124205	1.823427696	2.526903953	1.176094799	1.743605103	1.862388779	1.561427644	2.234822179	0.036755658	4.574970739	0.088047965	0.757524751	4.840376686	4.949886915	2.899325993	3.377553386	1.720372663	2.228373269	1.55946585	2.127234781	1.418734929	2.351169522	1.314607686	4.164253014	0	3.843465753	1.191422376	2.029804769	0.931927833	4.454197285	3.47079185	4.177163413	0.629954953	2.336093367	3.125171555	1.635585076	0.146848081	1.569925477	1.949988962	2.066146047	1.689994334	1.59099488	3.411421602	1.120142182	4.887050461	3.875186807	0.504467856	1.155666623	2.865902593	0.951681041	0.417012183	0.680764329	2.333130787	0	0	3.372622995	2.256595603	1.183700707	1.856096408	3.573917436	1.06807404	1.186418627	0	3.108784135	3.639844135	0.067431613	1.360402029	1.954099383	1.792875513	3.754332401	1.297348387	3.254459162	0.381370483	2.973200325	1.017116581	2.419203006	2.506725218	3.003576428	2.04893723	1.258551895	3.377242747	3.234957814	0.152143238	3.036360649	1.462627891	1.159048657	0	1.554206347	3.243923496	1.990562513	1.458596418	0.616970532	2.892547168	3.371380579	3.752518352	2.026320262	2.103339937	1.74249044	1.937215315	2.836877212	2.670542154	0.112397895	0.063631297	2.169966427	1.947276358	2.910147152	0	2.312413634	2.877157049	3.496349973	0.614147803	1.033337497	1.928198506	3.120640972	3.662191477	1.108816713	1.44619166	2.859236491	1.111242195	0	2.935892032	4.39997583	3.267170628	2.150159757	2.879524247	4.045264606	0.754660819	1.199916589	3.98238454	1.009959565	1.907427678	0.567340164	0	4.087788116	3.95797868	3.376187219	2.506431649	2.522017768	2.441007007	1.189183987	0	2.556156971	1.564078556	3.555867926	3.358411655	3.225676647	4.54838288	2.330908181	0.854781219	2.04961229	2.929341371	1.738277817	1.956646592	1.285902039	3.923973315	2.178794674	0.95734438	1.996121072	2.323233441	0.060623869	2.034279413	3.16227161	3.610049969	3.899944351	0	3.322330926	1.17922099	1.454621011	1.81016897	0	2.246043313	0.731824477	0	2.817107874	3.245397009	2.615796014	2.20394638	2.939071971	1.229956291	2.065603739	2.950985922	2.378538219	0.806547292
a15	0.845	4.204099906	2.128043593	0.557263882	2.495244694	1.9860988	0	1.772641208	3.49744046	0.318410821	2.188624368	1.787292842	3.802908787	2.509696819	1.254709644	2.509526089	0.077428895	0.878775763	0.881980821	1.870909471	2.484398187	1.138762057	1.758623142	1.962220692	1.88726054	1.910888266	0.255102578	4.234428192	0.521849833	0.931789995	4.653331581	4.882551891	2.222829511	3.641024977	1.695916481	2.149390789	2.148688881	1.234008192	1.711748983	2.906250575	1.114232981	1.386569323	0.202329228	4.000634435	1.07057626	1.977770047	0.657225659	4.455813662	3.670295334	4.138327954	0.595295073	1.57156573	2.919040196	1.171574605	0	1.093066942	1.703556473	2.095605203	1.530734474	1.526897254	3.152590713	1.395989709	4.892617231	3.487815348	0.72494619	1.073588455	3.104716715	0.738349965	1.189010424	0.844562695	2.654867403	0	0.121625422	3.242994614	1.781256169	1.123171559	2.430679231	3.705817689	0.492547594	1.066725946	0	3.325194282	3.962740834	0	1.434286588	1.980645543	1.798379177	4.153818719	1.411542917	3.778674453	1.092500315	2.54543715	0.998803003	2.622826317	2.922914238	1.968040597	1.85328878	1.526364952	3.334209641	3.060672277	0.258004776	3.210246701	2.179095682	1.920020749	0.471778304	1.424584353	3.96359786	1.630490738	0.277923361	1.107578637	1.516809334	3.562576161	2.941677274	2.772444962	1.18270218	2.552931275	1.322869886	2.906119334	2.549749812	0	0.557800999	2.752921586	1.943461439	3.545188052	0	2.30444636	2.679012663	3.783232358	0.596260659	0.91385978	1.682560113	2.913252432	3.899899816	1.257116336	0.700182375	1.914527098	1.034127099	0.484389652	2.935759314	4.204743364	4.544006231	2.15660858	3.226292255	3.90489768	1.056925337	1.296900147	3.577981412	2.064195915	1.738346386	1.413520347	0	3.885785801	4.119372078	1.731851986	2.765702567	2.856654097	2.769371051	2.099372837	0	2.146986866	1.606397294	3.204675475	3.717316268	3.20141222	4.640295988	3.012609056	0.643233986	2.231489656	2.378805119	0.626359198	1.660195663	1.196374006	3.933447846	2.818457958	0.814745152	2.809179779	0.500437049	0.555003453	2.089037849	3.334840319	4.985105498	4.287894511	0.529221969	3.605084716	1.205955837	1.742816043	0.840385453	0	2.186764505	1.972009437	0	2.497822875	3.48822487	2.459050235	2.155881614	3.293845997	1.617707624	2.27641564	2.949258923	2.826792776	1.29702316
a155	0.55	4.22569441	2.331574801	1.167276662	2.352481312	2.032461301	0.270640689	2.775627849	3.120839533	0.436282018	1.931786594	0.569907786	3.55938846	0	1.422230841	2.380082102	0.134249385	1.005044923	1.654525994	1.752562889	2.622477788	2.121600242	2.243240527	1.071908906	1.53853894	2.022108995	0.297526457	4.086935516	0.423134743	0.069517387	4.688269755	4.816273544	2.918716231	3.372719029	2.429164879	2.107432368	1.678674754	2.242427362	2.342276849	0.857202929	1.476265313	1.267381312	0.332441983	4.189609286	1.615714175	1.557255802	0.917977309	4.472221481	2.944970417	4.080238876	0.600941975	1.155833478	1.151634754	0.776398581	0.169977346	1.065148572	2.158684699	2.138795945	0.865414193	1.61680074	3.292784063	1.752221372	5.189149613	3.003234065	0.374697262	1.290347729	2.531957206	1.005725503	1.22713449	0.778292234	2.818762371	0	0	3.048941232	2.650435212	0.418537952	2.176947037	3.565632141	1.097775272	0.996871141	0	3.372420607	3.87476756	0	2.075949201	1.906222927	1.969674108	4.245211284	2.994976988	3.822321468	0.004682271	2.842167256	1.15082516	2.65793516	2.38643899	2.601629865	2.065225978	0	3.409598659	3.670473601	0.169791719	3.368908322	2.22752205	1.340666566	0.494824892	1.594632856	4.163018272	1.883181798	0.146532017	0.216280051	2.348435703	3.342059363	3.341411991	2.889665953	2.807666249	2.147081498	2.117697848	2.006444683	2.523614411	0.6759176	0.495779192	2.825987299	1.750650975	3.088224851	0.06381773	1.677285328	2.623885677	4.105294393	0.743635901	0.516506059	2.142182745	2.718990141	3.917865902	1.099758298	1.345053008	1.761734875	0.984577221	0	2.620718773	4.271466513	4.668755128	2.466717221	3.353899603	3.958589747	0.888796198	1.259985395	3.379493548	1.655374485	2.937970737	1.079884683	0	4.066646145	3.01247139	1.663679855	2.069516198	2.761748933	2.613732196	1.351350888	0	2.816982331	1.73183606	4.084873183	3.464904307	2.578821918	4.585161337	2.758832031	0.664751307	2.575470736	2.27574202	0.607221033	1.992998185	1.22070897	4.014825051	2.840019541	0.866221951	2.063769372	0	0.137026029	1.925985829	2.994911937	4.133515595	4.263038967	0.572724351	3.546679166	1.30097065	1.223445966	2.028260083	0	2.175857928	0.794584009	0	2.658789926	3.089026787	2.097445985	2.335522647	3.751337688	1.445680569	2.156294938	2.919617674	2.623711613	0.430088775
